gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,tenure_bucket,services_count,monthly_to_total_ratio,flag_internet_no_tech_support,flag_fiber_high_charges,flag_short_tenure_monthly,expected_tenure,CLV,CLV_quartile,Churn
1,0,0,0,7,1,0,2,1,1,1,1,1,1,0,1,3,19.4,168.65,3,1,1.2418998527245952,0,0,1,12,232.79999999999998,Low,0
0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,94.3,424.45,0,5,1.1252651113467655,1,1,1,12,1131.6,High,1
0,0,1,1,21,1,0,0,0,0,0,0,0,0,0,1,2,44.95,926.25,1,2,0.981249006832989,1,0,0,12,539.4000000000001,Low,0
0,1,1,0,46,1,2,1,0,0,0,2,2,2,1,0,2,100.25,4753.85,2,6,1.0308684809714843,0,1,0,24,2406.0,Premium,0
0,1,1,0,31,0,1,0,2,2,2,0,0,2,1,1,1,50.4,1580.1,2,5,1.0113287250384024,1,0,0,24,1209.6,High,0
1,1,1,0,59,1,0,1,2,2,2,0,0,0,1,1,1,82.95,4903.15,2,5,1.001859400700851,1,0,0,24,1990.8000000000002,Premium,0
0,0,0,0,8,1,0,0,2,2,0,2,0,0,1,0,0,58.2,469.25,3,5,1.0078393470790377,0,0,0,24,1396.8000000000002,High,0
1,0,0,0,33,1,0,1,0,2,0,2,0,0,2,0,0,80.6,2651.1,2,4,0.9967290773742388,0,0,0,24,1934.3999999999999,Premium,0
0,1,1,0,65,1,2,1,2,2,2,0,2,2,0,1,1,109.4,7227.45,2,8,1.0163760371255801,1,1,0,12,1312.8000000000002,High,0
0,0,1,1,38,1,0,2,1,1,1,1,1,1,1,0,1,19.6,763.1,2,1,1.0245703544575724,0,0,0,24,470.40000000000003,Low,0
0,0,1,1,67,1,0,2,1,1,1,1,1,1,2,1,0,19.25,1372.9,2,1,1.0644698584997092,0,0,0,24,462.0,Low,0
0,0,0,0,9,1,0,1,2,0,0,0,0,0,0,1,1,74.25,639.65,3,3,0.9572016460905349,1,0,1,12,891.0,Medium,1
0,0,1,0,45,1,2,1,2,2,2,2,2,2,1,0,3,113.3,5032.25,2,9,0.9870059821516132,0,1,0,24,2719.2,Premium,0
1,0,1,1,39,1,2,2,1,1,1,1,1,1,2,0,3,25.2,987.95,2,2,1.0052401302401304,0,0,0,24,604.8,Medium,0
1,0,1,1,49,0,1,0,2,0,0,0,0,2,0,1,2,39.2,1838.15,2,3,0.9569710537276135,1,0,0,12,470.40000000000003,Low,0
0,0,0,0,50,1,2,0,2,0,2,2,2,2,1,1,1,82.5,4179.1,2,8,1.0131151515151515,0,0,0,24,1980.0,Premium,0
1,0,1,1,60,1,2,1,0,2,0,2,2,2,0,1,0,103.75,5969.95,2,7,0.9590281124497991,0,1,0,12,1245.0,High,0
1,1,0,0,16,0,1,0,0,2,0,0,2,0,0,1,3,39.0,679.85,1,3,1.0895032051282052,1,0,0,12,468.0,Low,1
0,0,0,0,15,1,0,0,2,2,2,2,2,2,0,0,3,84.45,1287.85,1,8,1.0166567988948094,0,0,0,12,1013.4000000000001,High,0
1,1,1,1,64,1,2,2,1,1,1,1,1,1,2,1,0,24.4,1548.65,2,2,0.9917072233606559,0,0,0,24,585.5999999999999,Medium,0
1,0,0,0,13,1,0,2,1,1,1,1,1,1,1,1,3,19.95,257.0,1,1,0.990938885675728,0,0,0,24,478.79999999999995,Low,0
1,0,0,0,26,1,2,0,0,0,0,0,0,0,1,1,1,51.55,1295.4,2,3,0.966500037305081,1,0,0,24,1237.1999999999998,High,0
1,0,1,1,45,1,0,2,1,1,1,1,1,1,2,0,3,20.35,929.2,2,1,1.0146874146874145,0,0,0,24,488.40000000000003,Low,0
0,0,0,0,3,1,0,2,1,1,1,1,1,1,0,0,3,19.85,57.2,0,1,0.9605373635600336,0,0,1,12,238.20000000000002,Low,0
0,0,0,0,53,0,1,0,2,2,2,2,2,0,1,1,2,53.6,2879.2,2,6,1.013517319065052,0,0,0,24,1286.4,High,0
0,0,0,0,37,1,0,2,1,1,1,1,1,1,2,0,3,19.8,813.3,2,1,1.11015561015561,0,0,0,24,475.20000000000005,Low,0
0,1,0,0,72,1,2,1,2,2,0,2,2,2,2,1,0,110.1,7746.7,2,8,0.9772302956907861,0,1,0,24,2642.3999999999996,Premium,0
0,0,1,1,50,1,0,1,0,0,2,2,2,2,1,0,3,103.05,5153.5,2,6,1.0001940805434255,0,1,0,24,2473.2,Premium,0
1,0,0,0,8,1,2,1,0,2,0,0,2,2,0,0,2,100.85,819.55,3,6,1.0158031730292514,1,1,1,12,1210.1999999999998,High,1
0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,48.45,48.45,0,3,1.0,1,0,1,12,581.4000000000001,Low,0
1,0,1,1,68,1,2,0,2,2,2,2,2,2,2,1,1,92.2,6392.85,2,9,1.0196583514099784,0,0,0,24,2212.8,Premium,0
1,0,1,1,26,1,2,1,0,0,0,0,2,0,0,1,2,83.75,2070.6,2,4,0.9509070034443169,1,0,0,12,1005.0,High,1
0,0,0,0,60,0,1,0,2,0,2,0,2,2,2,0,2,53.6,3237.05,2,5,1.0065453980099504,1,0,0,24,1286.4,High,0
0,1,1,0,37,1,0,2,1,1,1,1,1,1,1,0,3,19.6,727.8,2,1,1.0035852178709321,0,0,0,24,470.40000000000003,Low,0
0,0,0,0,9,1,2,1,0,0,0,0,0,0,0,1,2,76.85,663.55,3,3,0.9593725150003615,1,0,1,12,922.1999999999999,Medium,0
0,0,0,0,15,1,2,0,2,0,0,0,0,2,0,1,0,64.65,994.55,1,5,1.025573601443671,1,0,0,12,775.8000000000001,Medium,1
0,0,0,0,18,1,2,1,0,0,0,0,0,0,0,1,2,74.15,1345.75,1,3,1.008279014010639,1,0,0,12,889.8000000000001,Medium,0
0,0,1,1,23,1,2,2,1,1,1,1,1,1,2,0,3,23.85,625.65,1,2,1.1405523653267704,0,0,0,24,572.4000000000001,Low,0
0,0,0,0,40,1,0,2,1,1,1,1,1,1,2,0,1,19.65,830.25,2,1,1.0562977099236641,0,0,0,24,471.59999999999997,Low,0
1,0,1,1,41,1,2,0,2,2,2,0,2,0,0,1,1,74.55,3023.55,2,7,0.9892035137655201,1,0,0,12,894.5999999999999,Medium,0
1,0,1,1,72,1,2,1,0,2,0,0,2,0,1,1,2,89.7,6588.95,2,5,1.0202139848878977,1,0,0,24,2152.8,Premium,0
1,1,1,0,71,1,2,1,2,2,2,2,0,0,1,1,2,92.0,6585.2,2,7,1.008144519289651,0,1,0,24,2208.0,Premium,0
1,0,1,0,68,0,1,0,2,0,2,0,2,2,2,1,0,54.1,3794.5,2,5,1.0314504729803196,1,0,0,24,1298.4,High,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,1,19.3,19.3,0,1,1.0,0,0,1,12,231.60000000000002,Low,0
0,1,1,0,24,1,2,1,0,0,0,0,2,2,0,1,2,93.55,2264.05,1,5,1.0083956885800822,1,1,0,12,1122.6,High,1
0,0,1,1,28,1,0,2,1,1,1,1,1,1,1,0,3,19.9,543.0,2,1,0.9745154343144294,0,0,0,24,477.59999999999997,Low,0
1,0,0,0,17,1,2,1,0,0,2,2,0,2,0,1,0,95.65,1640.0,1,6,1.0085790719842562,0,1,0,12,1147.8000000000002,High,0
1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,35.25,35.25,0,2,1.0,1,0,1,12,423.0,Low,1
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.55,19.55,0,1,1.0,0,0,1,12,234.60000000000002,Low,0
0,0,1,1,68,1,2,1,2,0,2,2,2,2,2,0,1,111.75,7511.3,2,8,0.9884590077641795,0,1,0,24,2682.0,Premium,0
1,0,0,0,58,1,0,2,1,1,1,1,1,1,2,0,1,20.3,1131.5,2,1,0.9610157975199591,0,0,0,24,487.20000000000005,Low,0
1,0,1,1,63,1,2,2,1,1,1,1,1,1,2,0,3,25.25,1573.05,2,2,0.9888731730315888,0,0,0,24,606.0,Medium,0
1,0,0,0,12,1,0,1,0,0,0,0,2,0,0,1,2,81.45,912.0,3,3,0.9330877839165131,1,0,1,12,977.4000000000001,High,0
0,0,1,0,56,1,2,1,0,2,0,0,2,2,1,1,2,98.25,5508.35,2,6,1.0011541257724466,1,1,0,24,2358.0,Premium,1
1,0,0,0,67,1,0,0,0,0,0,2,0,0,2,0,0,50.55,3260.1,2,3,0.9625758448115506,0,0,0,24,1213.1999999999998,High,0
1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,94.35,3921.3,2,5,0.9665397271416425,1,1,0,24,2264.3999999999996,Premium,0
0,0,0,0,5,1,0,0,2,0,0,2,0,0,0,0,2,54.2,308.25,0,4,1.1374538745387455,0,0,1,12,650.4000000000001,Medium,1
0,0,0,0,8,1,0,1,0,0,0,0,2,0,0,1,0,80.1,679.3,3,3,1.0600811485642947,1,0,1,12,961.1999999999999,Medium,1
1,0,0,1,66,1,2,2,1,1,1,1,1,1,2,1,1,25.3,1673.8,2,2,1.0023954964666426,0,0,0,24,607.2,Medium,0
1,0,0,0,41,1,2,0,0,0,2,0,0,2,1,0,3,65.0,2531.8,2,5,0.9500187617260789,1,0,0,24,1560.0,Premium,0
1,0,0,0,6,1,0,2,1,1,1,1,1,1,1,0,3,20.6,116.6,0,1,0.9433656957928801,0,0,0,24,494.40000000000003,Low,0
0,0,0,0,25,0,1,0,2,2,2,0,2,2,1,0,2,61.05,1540.2,2,6,1.009140049140049,1,0,0,24,1465.1999999999998,Premium,0
0,0,0,0,15,1,0,2,1,1,1,1,1,1,0,0,3,19.6,299.4,1,1,1.0183673469387755,0,0,0,12,235.20000000000002,Low,0
0,0,1,0,59,1,2,1,0,2,0,0,2,2,0,0,2,101.1,6039.9,2,6,1.0125735552984962,1,1,0,12,1213.1999999999998,High,1
0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,1,3,44.25,313.45,3,2,1.0119451170298628,1,0,1,12,531.0,Low,0
1,1,0,1,11,1,0,0,0,2,0,2,0,0,0,1,2,54.55,601.25,3,4,1.001999833347221,0,0,1,12,654.5999999999999,Medium,0
0,1,0,0,56,1,2,1,0,2,2,0,2,2,1,1,0,104.75,5510.65,2,7,0.9394220934197067,1,1,0,24,2514.0,Premium,1
0,0,1,0,68,1,2,0,2,0,0,2,0,0,1,0,0,58.25,3975.7,2,5,1.0037111840444333,0,0,0,24,1398.0,High,0
0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,3,29.9,29.9,0,2,1.0,1,0,1,12,358.79999999999995,Low,0
0,1,0,0,16,1,0,1,0,0,0,2,2,2,0,1,2,94.45,1511.2,1,5,1.0,0,1,0,12,1133.4,High,1
0,0,1,0,43,1,2,0,0,0,0,2,2,0,1,1,0,64.85,2908.2,2,5,1.042907604310484,0,0,0,24,1556.3999999999999,Premium,0
1,1,0,0,2,1,2,1,0,0,0,0,2,2,0,1,2,93.85,196.75,0,5,1.0482152370804476,1,1,1,12,1126.1999999999998,High,1
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.35,69.35,0,2,1.0,1,0,1,12,832.1999999999999,Medium,1
0,0,1,1,23,1,2,1,0,0,0,0,2,0,0,1,2,83.75,1849.95,1,4,0.960389357560026,1,0,0,12,1005.0,High,0
1,0,0,0,56,1,2,1,0,2,0,2,0,2,0,1,2,94.45,5124.6,2,6,0.9688799818498073,0,1,0,12,1133.4,High,1
1,0,1,1,6,1,0,0,2,0,0,0,0,0,0,1,2,49.15,295.65,0,3,1.0025432349949135,1,0,1,12,589.8,Medium,0
1,0,1,0,22,1,0,1,0,0,2,0,2,0,0,1,0,87.0,1850.65,1,4,0.966901776384535,1,0,0,12,1044.0,High,0
0,0,0,1,50,1,0,2,1,1,1,1,1,1,2,0,1,20.15,970.85,2,1,0.9636228287841192,0,0,0,24,483.59999999999997,Low,0
1,0,0,0,57,1,0,2,1,1,1,1,1,1,2,0,1,20.55,1252.85,2,1,1.0695778375378835,0,0,0,24,493.20000000000005,Low,0
1,0,0,0,27,1,2,0,0,0,0,0,0,0,0,0,3,49.0,1291.35,2,3,0.9760770975056688,1,0,0,12,588.0,Medium,0
1,0,1,1,64,1,0,0,2,0,2,2,2,0,2,0,3,69.25,4447.75,2,6,1.0035537003610109,0,0,0,24,1662.0,Premium,0
0,0,1,1,5,1,0,1,0,0,0,2,2,0,0,1,2,85.75,470.95,0,4,1.0984256559766763,0,0,1,12,1029.0,High,1
1,0,0,1,23,1,0,0,0,2,0,2,0,0,0,1,0,55.3,1284.2,1,4,1.0096705715858167,0,0,0,12,663.5999999999999,Medium,0
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,2,19.75,19.75,0,1,1.0,0,0,1,12,237.0,Low,0
1,0,0,0,48,1,0,0,0,2,2,2,2,2,2,0,1,78.9,3771.5,2,7,0.9958544571187156,0,0,0,24,1893.6000000000001,Premium,0
1,0,1,1,23,1,0,2,1,1,1,1,1,1,2,0,3,20.9,454.0,1,1,0.9444560016642397,0,0,0,24,501.59999999999997,Low,0
0,0,0,0,10,1,0,2,1,1,1,1,1,1,1,1,3,19.3,185.2,3,1,0.9595854922279792,0,0,0,24,463.20000000000005,Low,0
0,0,0,0,41,1,0,2,1,1,1,1,1,1,1,1,3,19.75,806.95,2,1,0.9965421426366163,0,0,0,24,474.0,Low,0
1,0,1,1,30,1,2,1,2,2,0,0,2,0,0,1,2,94.4,2838.7,2,6,1.0023658192090394,1,1,0,12,1132.8000000000002,High,1
1,0,1,1,52,1,2,2,1,1,1,1,1,1,2,0,3,24.55,1331.05,2,2,1.0426523578254738,0,0,0,24,589.2,Medium,0
1,0,1,0,20,1,0,1,0,0,0,0,2,2,0,1,3,89.0,1820.45,1,4,1.0227247191011237,1,0,0,12,1068.0,High,1
0,0,0,0,64,1,2,0,2,2,2,2,2,2,2,1,1,86.4,5442.05,2,9,0.9841670283564814,0,0,0,24,2073.6000000000004,Premium,0
1,0,0,1,21,1,0,0,0,0,0,0,0,0,0,0,3,45.65,985.05,1,2,1.027538726333907,1,0,0,12,547.8,Low,0
1,0,0,0,2,1,0,0,0,0,0,2,0,0,0,1,1,50.2,109.25,0,3,1.0881474103585658,0,0,1,12,602.4000000000001,Medium,0
1,0,1,0,66,1,0,0,2,2,2,2,2,2,2,1,0,85.9,5595.3,2,8,0.9869298338448512,0,0,0,24,2061.6000000000004,Premium,0
1,0,1,1,72,1,2,0,2,2,2,2,2,2,2,1,0,87.55,6463.15,2,9,1.0253109334348627,0,0,0,24,2101.2,Premium,0
0,1,1,0,68,1,2,1,0,2,0,0,0,2,0,1,0,89.6,6127.6,2,5,1.0057116596638658,1,0,0,12,1075.1999999999998,High,1
0,0,0,0,66,1,2,2,1,1,1,1,1,1,2,1,1,25.15,1683.6,2,2,1.0142779685523224,0,0,0,24,603.5999999999999,Medium,0
1,1,1,0,41,1,2,1,2,0,2,0,0,0,0,1,0,83.75,3273.55,2,5,0.9533454677830361,1,0,0,12,1005.0,High,1
1,1,1,0,71,1,2,1,2,2,2,0,2,2,0,1,2,107.5,7713.55,2,8,1.0106190632165084,1,1,0,12,1290.0,High,0
1,0,0,0,5,1,0,1,0,0,2,0,2,2,0,0,0,96.5,492.55,0,5,1.0208290155440414,1,1,1,12,1158.0,High,1
1,0,0,0,31,1,0,0,2,2,2,2,2,0,0,1,0,72.45,2156.25,2,7,0.9600614439324116,0,0,0,12,869.4000000000001,Medium,0
1,0,0,0,29,1,0,0,0,0,2,2,2,2,1,1,0,75.35,2243.9,2,6,1.0268860261309294,0,0,0,24,1808.3999999999999,Premium,0
0,0,0,0,11,1,0,1,0,2,2,2,0,2,0,1,2,94.2,999.9,3,6,0.9649681528662419,0,1,1,12,1130.4,High,0
0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,55.2,55.2,0,3,1.0,1,0,1,12,662.4000000000001,Medium,1
1,0,0,0,3,1,0,1,0,2,0,0,0,0,0,0,1,74.45,221.1,0,3,0.9899261249160509,1,0,1,12,893.4000000000001,Medium,0
1,1,1,1,52,1,2,0,0,2,2,0,2,2,1,1,2,80.85,4079.55,2,7,0.9703510774939347,1,0,0,24,1940.3999999999999,Premium,0
0,1,1,0,60,1,2,1,0,0,2,0,2,2,1,1,1,100.5,6029.0,2,6,0.9998341625207297,1,1,0,24,2412.0,Premium,0
1,0,0,0,5,1,0,0,0,2,0,0,0,0,0,1,2,51.35,262.3,0,3,1.0216163583252191,1,0,1,12,616.2,Medium,0
1,0,1,0,18,1,2,1,2,0,0,0,2,2,0,1,2,99.4,1742.95,1,6,0.9741504583053879,1,1,0,12,1192.8000000000002,High,1
0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.9,19.9,0,1,1.0,0,0,1,12,238.79999999999998,Low,0
1,0,1,0,63,1,0,2,1,1,1,1,1,1,2,0,3,19.25,1237.65,2,1,1.0205318491032778,0,0,0,24,462.0,Low,0
0,0,0,0,8,1,0,2,1,1,1,1,1,1,2,0,3,20.0,141.6,3,1,0.885,0,0,0,24,480.0,Low,0
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.65,69.65,0,2,1.0,1,0,1,12,835.8000000000001,Medium,1
0,0,0,0,2,1,0,2,1,1,1,1,1,1,0,0,2,19.9,57.4,0,1,1.442211055276382,0,0,1,12,238.79999999999998,Low,0
1,0,1,0,14,1,0,0,0,0,0,0,0,0,1,0,2,44.6,641.25,1,2,1.0269859064702114,1,0,0,24,1070.4,High,0
0,0,1,0,72,1,2,1,2,2,2,2,2,0,2,1,0,103.95,7556.9,2,8,1.0096868152423706,0,1,0,24,2494.8,Premium,0
0,0,1,1,71,1,2,1,2,2,2,0,2,0,2,1,1,99.0,7061.65,2,7,1.0046450419689856,1,1,0,24,2376.0,Premium,0
0,0,1,1,24,0,1,0,2,2,2,0,2,2,1,0,2,57.6,1367.75,1,6,0.9894024884259258,1,0,0,24,1382.4,High,0
1,0,1,0,71,1,0,0,2,2,2,2,2,2,2,1,0,86.1,6045.9,2,8,0.9890072140158022,0,0,0,24,2066.3999999999996,Premium,0
0,0,0,0,1,1,2,1,0,2,0,0,2,2,0,1,1,100.25,100.25,0,6,1.0,1,1,1,12,1203.0,High,1
